authorization_id,facility_id,call_sign,rf_channel,center_frequency_mhz,tx_latitude_deg,tx_longitude_deg,tx_altitude_m,erp_kw,eirp_kw,directional_flag,rotation_deg,site_name,asrn
1,72099,WGBH-TV,5,79.0,42.302972,-71.218028,406.2984,34.0,55.78005228878434,ND,0.0,Cabot Street (MA),1004233
2,59488,WHDT-LD,4,69.0,42.349167,-71.074722,251.7648,1.0,1.6405897731995394,ND,0.0,John Hancock Tower (MA),1005833
3,25456,WBZ-TV,20,509.0,42.310278,-71.236667,431.901603,922.0,1512.6237708899753,ND,0.0,CBS Tower (MA),1003433
4,65684,WCVB-TV,33,587.0,42.310278,-71.236667,431.901603,922.0,1512.6237708899753,ND,0.0,CBS Tower (MA),1003433
5,72145,WHDH,35,599.0,42.311389,-71.216111,348.386404,1000.0,1640.5897731995394,ND,0.0,Newton (MA),1005862
6,73292,WMUR-TV,9,189.0,42.983694,-71.589778,453.237604,7.35,12.058334833016614,ND,0.0,South Mountain (NH),1033995
7,69237,WENH-TV,11,201.0,43.175833,-71.2075,462.381605,30.0,49.21769319598618,DA,0.0,Saddleback Mountain (NH),1034696
9,9766,WBTS-CD,32,581.0,42.310278,-71.236667,431.901603,922.0,1512.6237708899753,ND,0.0,CBS Tower (MA),1003433
11,48406,WPXG-TV,23,527.0,43.184444,-71.319444,508.7112,80.6,132.23153571988286,DA,0.0,Fort Mountain (NH),1033792
13,64833,WFXZ-CD,5,79.0,42.302972,-71.218028,406.2984,34.0,55.78005228878434,ND,0.0,Cabot Street (MA),1004233
14,6463,WFXT,34,593.0,42.302972,-71.218028,392.8872,1000.0,1640.5897731995394,DA,0.0,Cabot Street (MA),1004233
15,168497,WCEA-LD,36,605.0,42.349167,-71.074722,255.1176,15.0,24.60884659799309,DA,180.0,John Hancock Tower (MA),1005833
16,30577,WUTF-TV,19,503.0,42.310278,-71.236667,416.6616,970.0,1591.3720800035533,ND,0.0,CBS Tower (MA),1003433
17,73982,WSBK-TV,21,515.0,42.310278,-71.236667,431.901603,163.0,267.4161330315249,ND,0.0,CBS Tower (MA),1003433
18,55114,W26EU-D,26,545.0,42.307722,-71.223583,332.5368,12.0,19.687077278394472,DA,90.0,FM128 Tower (MA),1004623
19,72098,WGBX-TV,32,581.0,42.310278,-71.236667,431.901603,922.0,1512.6237708899753,ND,0.0,CBS Tower (MA),1003433
20,23671,WWDP,10,195.0,42.010556,-71.044444,173.431202,5.0,8.202948865997698,ND,0.0,Cochesett (MA),1045132
21,18783,WYDN,23,527.0,43.184444,-71.319444,508.7112,80.6,132.23153571988286,DA,0.0,Fort Mountain (NH),1033792
22,186686,WVCC-LD,6,85.0,42.302972,-71.218028,315.7728,3.0,4.921769319598618,ND,0.0,Cabot Street (MA),1004233
24,73238,WLVI,35,599.0,42.311389,-71.216111,348.386404,1000.0,1640.5897731995394,ND,0.0,Newton (MA),1005862
25,6476,WDPX-TV,22,521.0,42.384083,-71.493139,413.9184,150.0,246.0884659799309,DA,0.0,Hudson (MA),1046935
26,51864,WNEU,29,563.0,42.310278,-71.236667,416.6616,540.0,885.9184775277513,DA,356.0,CBS Tower (MA),1003433
27,41436,WMFP,10,195.0,42.010556,-71.044444,173.431202,5.0,8.202948865997698,ND,0.0,Cochesett (MA),1045132
29,7692,WBPX-TV,22,521.0,42.384083,-71.493139,413.9184,150.0,246.0884659799309,DA,0.0,Hudson (MA),1046935
