icao24,split,pairCount,sessionCount,assignmentOrder,datasetVariantID,policyVersion
0101DD,train,147,1,1,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
01025E,train,145,1,2,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
010283,train,8,1,3,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
010289,validation,3,2,4,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
01028A,test,130,1,5,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
020123,train,24,1,6,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
02013C,train,4,1,7,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
02013D,train,73,1,8,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
02013F,validation,198,2,9,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
04004A,test,226,1,10,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
040087,train,177,1,11,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
040203,train,130,1,12,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
04C119,train,24,1,13,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
04C159,validation,20,1,14,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
06A073,test,3,1,15,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
06A078,train,28,1,16,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
06A0DD,train,193,1,17,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
06A0E8,train,114,1,18,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
06A1DB,validation,160,1,19,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
06A2B0,test,52,1,20,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
06A30A,train,152,1,21,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
0AC9C3,train,14,1,22,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
0C208E,train,3,1,23,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
0D08D1,validation,2,1,24,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
0D09A4,test,46,1,25,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
0D09D0,train,143,1,26,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
0D09E5,train,12,1,27,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
0D09EC,train,238,1,28,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
0D0A9B,validation,18,1,29,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
0D0E29,test,12,1,30,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
0D11ED,train,50,1,31,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
300A62,train,282,2,32,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
300A9D,train,45,1,33,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
344503,validation,127,1,34,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
345319,test,5,2,35,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
3455C1,train,39,1,36,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
346456,train,165,1,37,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
34659A,train,57,1,38,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
3475D4,validation,136,1,39,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
34810B,test,234,1,40,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
3481D5,train,211,2,41,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
348310,train,305,3,42,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
348395,train,252,1,43,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
3484D3,validation,589,4,44,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
3485C3,test,199,2,45,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
392D6C,train,48,1,46,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
394A00,train,348,1,47,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
394A04,train,17,1,48,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
394A05,validation,20,1,49,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
394A08,test,95,1,50,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
394A0B,train,36,1,51,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
3965A0,train,7,1,52,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
3965A3,train,156,2,53,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
3965A4,validation,108,1,54,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
3965A7,test,174,2,55,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
3965AA,train,232,2,56,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
3965AF,train,14,1,57,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
3965B0,train,273,2,58,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
3965B3,validation,122,1,59,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
398699,test,507,1,60,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
39B44E,train,304,3,61,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
39CF00,train,93,1,62,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
39CF03,train,112,1,63,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
39CF0C,validation,57,1,64,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
39CF11,test,91,1,65,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
39CF12,train,60,2,66,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
39D2A0,train,137,1,67,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
39D2A2,train,132,1,68,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
39D2A4,validation,145,1,69,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
39D2A5,test,60,1,70,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
39D2AB,train,163,1,71,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
39D2AD,train,365,2,72,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
39D2AF,train,49,1,73,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
39D2B0,validation,203,1,74,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
3C15BE,test,23,1,75,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
3C4599,train,4,1,76,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
3C4A01,train,119,1,77,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
3C4A04,train,26,1,78,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
3C4B28,validation,5,1,79,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
3C4B34,test,11,2,80,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
3C64EF,train,6,1,81,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
3C64F0,train,65,1,82,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
3C64F4,train,65,1,83,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
3C6518,validation,233,2,84,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
3C6519,test,190,3,85,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
3C6564,train,44,1,86,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
3C65A3,train,2,1,87,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
3C66C3,train,57,1,88,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
3C6709,validation,6,1,89,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
3C6713,test,206,1,90,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
3C6716,train,16,1,91,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
3C671A,train,77,1,92,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
3C70C9,train,272,2,93,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
3C71A7,validation,61,1,94,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
3C7A41,test,203,2,95,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
3C7A44,train,63,1,96,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
3C7A46,train,21,2,97,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
4005BB,train,150,2,98,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
4005BC,validation,61,1,99,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
4005BE,test,27,1,100,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
400683,train,43,2,101,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
4006C0,train,23,1,102,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
4006C1,train,31,1,103,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
4006C4,validation,67,1,104,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
400771,test,16,1,105,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
400772,train,88,1,106,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
400773,train,28,1,107,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
400776,train,41,2,108,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
4007F1,validation,84,1,109,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
405BFC,test,6,1,110,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
40621B,train,3,1,111,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
4063E6,train,10,1,112,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
40641D,train,188,1,113,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
406590,validation,129,1,114,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
406591,test,18,1,115,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
4065DE,train,18,1,116,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
406832,train,194,3,117,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
40688E,train,171,1,118,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
406948,validation,17,1,119,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
406A34,test,9,1,120,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
406A35,train,1,1,121,expanded_post3day_v2,sorted_icao_repeating_3train_1validation_1test_v1
