variantID,displayName,eventType,eventCount,totalDurationSeconds,medianDurationSeconds,peakMagnitude,aircraftCount,trackCount,sessionCount,campaignBlockCount,largestAircraftSharePercent,largestSessionSharePercent,largestCampaignBlockSharePercent
legacy_pre3day_v1,Legacy-16,sustained_turn,39,459.233,4.488,164.704260505849,20,21,11,0,23.0769230769231,43.5897435897436,NaN
legacy_pre3day_v1,Legacy-16,sustained_acceleration,275,2112.717,4.16,5.62989963677054,83,91,16,0,4.36363636363636,28.3636363636364,NaN
legacy_pre3day_v1,Legacy-16,sustained_climb,76,5359.576,78.3185,25.0284900114306,62,74,15,0,3.94736842105263,14.4736842105263,NaN
legacy_pre3day_v1,Legacy-16,sustained_descent,77,4241.248,51.969,18.873285423038,62,66,15,0,5.19480519480519,22.0779220779221,NaN
legacy_pre3day_v1,Legacy-16,sparse_gap,336,3249.314,7.442,29.6510000228882,122,137,16,0,3.57142857142857,19.3452380952381,NaN
campaign_3day_increment_v1,3-Day Campaign Increment,sustained_turn,1237,17061.806,9.521,372.252951958448,467,610,109,3,1.69765561843169,2.99110751818917,46.645109135004
campaign_3day_increment_v1,3-Day Campaign Increment,sustained_acceleration,7313,75260.513,5.434,11.039788844454,1126,1657,129,3,1.65458772049774,3.59633529331328,41.815944208943
campaign_3day_increment_v1,3-Day Campaign Increment,sustained_climb,1765,205824.792,73.963,37.3811305021156,942,1197,125,3,0.56657223796034,1.86968838526912,36.600566572238
campaign_3day_increment_v1,3-Day Campaign Increment,sustained_descent,1401,148651.58,66.63,25.9279196348789,804,974,128,3,0.856531049250535,2.56959314775161,36.4739471805853
campaign_3day_increment_v1,3-Day Campaign Increment,sparse_gap,14700,148594.978,8.04,29.9980001449585,1703,2578,137,3,0.489795918367347,1.98639455782313,35.3673469387755
expanded_post3day_v2,Expanded-3Day,sustained_turn,1276,17521.039,9.4835,372.252951958448,483,631,120,3,1.64576802507837,2.89968652037618,46.645109135004
expanded_post3day_v2,Expanded-3Day,sustained_acceleration,7588,77373.2300000001,5.3705,11.039788844454,1191,1748,145,3,1.59462308908803,3.46599894570374,41.815944208943
expanded_post3day_v2,Expanded-3Day,sustained_climb,1841,211184.368,74.22,37.3811305021156,989,1271,140,3,0.543183052688756,1.7925040738729,36.600566572238
expanded_post3day_v2,Expanded-3Day,sustained_descent,1478,152892.828,64.694,25.9279196348789,859,1040,143,3,0.81190798376184,2.43572395128552,36.4739471805853
expanded_post3day_v2,Expanded-3Day,sparse_gap,15036,151844.292,8.03,29.9980001449585,1790,2715,153,3,0.478850758180367,1.94200585262038,35.3673469387755
