variantID,displayName,turnIntensity,accelerationIntensity,verticalStatus,updateInterval,pairCount,trackCount,aircraftCount,sessionCount,occupied
legacy_pre3day_v1,Legacy-16,<0.5,<0.1,descent,<0.75,1765,53,49,12,1
legacy_pre3day_v1,Legacy-16,0.5-1,<0.1,descent,<0.75,23,11,10,7,1
legacy_pre3day_v1,Legacy-16,1-3,<0.1,descent,<0.75,76,18,18,8,1
legacy_pre3day_v1,Legacy-16,>=3,<0.1,descent,<0.75,6,3,3,3,1
legacy_pre3day_v1,Legacy-16,<0.5,0.1-0.5,descent,<0.75,400,44,39,13,1
legacy_pre3day_v1,Legacy-16,0.5-1,0.1-0.5,descent,<0.75,31,13,13,8,1
legacy_pre3day_v1,Legacy-16,1-3,0.1-0.5,descent,<0.75,24,7,7,6,1
legacy_pre3day_v1,Legacy-16,>=3,0.1-0.5,descent,<0.75,2,1,1,1,1
legacy_pre3day_v1,Legacy-16,<0.5,0.5-1,descent,<0.75,278,35,34,11,1
legacy_pre3day_v1,Legacy-16,0.5-1,0.5-1,descent,<0.75,5,4,4,3,1
legacy_pre3day_v1,Legacy-16,1-3,0.5-1,descent,<0.75,63,18,18,9,1
legacy_pre3day_v1,Legacy-16,>=3,0.5-1,descent,<0.75,2,2,2,2,1
legacy_pre3day_v1,Legacy-16,<0.5,>=1,descent,<0.75,44,17,16,8,1
legacy_pre3day_v1,Legacy-16,0.5-1,>=1,descent,<0.75,1,1,1,1,1
legacy_pre3day_v1,Legacy-16,1-3,>=1,descent,<0.75,17,8,8,5,1
legacy_pre3day_v1,Legacy-16,>=3,>=1,descent,<0.75,1,1,1,1,1
legacy_pre3day_v1,Legacy-16,<0.5,<0.1,level,<0.75,2241,66,62,16,1
legacy_pre3day_v1,Legacy-16,0.5-1,<0.1,level,<0.75,32,13,13,9,1
legacy_pre3day_v1,Legacy-16,1-3,<0.1,level,<0.75,139,24,22,11,1
legacy_pre3day_v1,Legacy-16,>=3,<0.1,level,<0.75,19,4,4,3,1
legacy_pre3day_v1,Legacy-16,<0.5,0.1-0.5,level,<0.75,187,42,41,13,1
legacy_pre3day_v1,Legacy-16,0.5-1,0.1-0.5,level,<0.75,40,16,16,9,1
legacy_pre3day_v1,Legacy-16,1-3,0.1-0.5,level,<0.75,19,5,5,3,1
legacy_pre3day_v1,Legacy-16,>=3,0.1-0.5,level,<0.75,3,1,1,1,1
legacy_pre3day_v1,Legacy-16,<0.5,0.5-1,level,<0.75,164,42,39,12,1
legacy_pre3day_v1,Legacy-16,0.5-1,0.5-1,level,<0.75,5,5,5,5,1
legacy_pre3day_v1,Legacy-16,1-3,0.5-1,level,<0.75,91,22,20,9,1
legacy_pre3day_v1,Legacy-16,>=3,0.5-1,level,<0.75,6,5,5,3,1
legacy_pre3day_v1,Legacy-16,<0.5,>=1,level,<0.75,57,19,19,8,1
legacy_pre3day_v1,Legacy-16,0.5-1,>=1,level,<0.75,0,0,0,0,0
legacy_pre3day_v1,Legacy-16,1-3,>=1,level,<0.75,50,13,12,7,1
legacy_pre3day_v1,Legacy-16,>=3,>=1,level,<0.75,0,0,0,0,0
legacy_pre3day_v1,Legacy-16,<0.5,<0.1,climb,<0.75,1673,54,44,15,1
legacy_pre3day_v1,Legacy-16,0.5-1,<0.1,climb,<0.75,20,10,10,6,1
legacy_pre3day_v1,Legacy-16,1-3,<0.1,climb,<0.75,67,20,19,8,1
legacy_pre3day_v1,Legacy-16,>=3,<0.1,climb,<0.75,3,2,2,2,1
legacy_pre3day_v1,Legacy-16,<0.5,0.1-0.5,climb,<0.75,210,44,36,14,1
legacy_pre3day_v1,Legacy-16,0.5-1,0.1-0.5,climb,<0.75,15,10,10,6,1
legacy_pre3day_v1,Legacy-16,1-3,0.1-0.5,climb,<0.75,9,5,5,4,1
legacy_pre3day_v1,Legacy-16,>=3,0.1-0.5,climb,<0.75,0,0,0,0,0
legacy_pre3day_v1,Legacy-16,<0.5,0.5-1,climb,<0.75,190,33,29,12,1
legacy_pre3day_v1,Legacy-16,0.5-1,0.5-1,climb,<0.75,7,3,3,3,1
legacy_pre3day_v1,Legacy-16,1-3,0.5-1,climb,<0.75,52,16,15,8,1
legacy_pre3day_v1,Legacy-16,>=3,0.5-1,climb,<0.75,2,2,2,2,1
legacy_pre3day_v1,Legacy-16,<0.5,>=1,climb,<0.75,73,22,20,11,1
legacy_pre3day_v1,Legacy-16,0.5-1,>=1,climb,<0.75,2,1,1,1,1
legacy_pre3day_v1,Legacy-16,1-3,>=1,climb,<0.75,25,9,9,6,1
legacy_pre3day_v1,Legacy-16,>=3,>=1,climb,<0.75,3,2,2,2,1
legacy_pre3day_v1,Legacy-16,<0.5,<0.1,descent,0.75-2,739,64,59,15,1
legacy_pre3day_v1,Legacy-16,0.5-1,<0.1,descent,0.75-2,22,12,12,9,1
legacy_pre3day_v1,Legacy-16,1-3,<0.1,descent,0.75-2,8,5,5,4,1
legacy_pre3day_v1,Legacy-16,>=3,<0.1,descent,0.75-2,1,1,1,1,1
legacy_pre3day_v1,Legacy-16,<0.5,0.1-0.5,descent,0.75-2,396,55,51,14,1
legacy_pre3day_v1,Legacy-16,0.5-1,0.1-0.5,descent,0.75-2,34,16,16,10,1
legacy_pre3day_v1,Legacy-16,1-3,0.1-0.5,descent,0.75-2,11,4,4,2,1
legacy_pre3day_v1,Legacy-16,>=3,0.1-0.5,descent,0.75-2,0,0,0,0,0
legacy_pre3day_v1,Legacy-16,<0.5,0.5-1,descent,0.75-2,69,27,27,10,1
legacy_pre3day_v1,Legacy-16,0.5-1,0.5-1,descent,0.75-2,5,5,5,5,1
legacy_pre3day_v1,Legacy-16,1-3,0.5-1,descent,0.75-2,15,7,7,5,1
legacy_pre3day_v1,Legacy-16,>=3,0.5-1,descent,0.75-2,0,0,0,0,0
legacy_pre3day_v1,Legacy-16,<0.5,>=1,descent,0.75-2,0,0,0,0,0
legacy_pre3day_v1,Legacy-16,0.5-1,>=1,descent,0.75-2,1,1,1,1,1
legacy_pre3day_v1,Legacy-16,1-3,>=1,descent,0.75-2,5,1,1,1,1
legacy_pre3day_v1,Legacy-16,>=3,>=1,descent,0.75-2,0,0,0,0,0
legacy_pre3day_v1,Legacy-16,<0.5,<0.1,level,0.75-2,1689,88,79,15,1
legacy_pre3day_v1,Legacy-16,0.5-1,<0.1,level,0.75-2,34,20,20,8,1
legacy_pre3day_v1,Legacy-16,1-3,<0.1,level,0.75-2,17,11,11,6,1
legacy_pre3day_v1,Legacy-16,>=3,<0.1,level,0.75-2,1,1,1,1,1
legacy_pre3day_v1,Legacy-16,<0.5,0.1-0.5,level,0.75-2,311,69,63,14,1
legacy_pre3day_v1,Legacy-16,0.5-1,0.1-0.5,level,0.75-2,43,21,20,12,1
legacy_pre3day_v1,Legacy-16,1-3,0.1-0.5,level,0.75-2,14,6,6,3,1
legacy_pre3day_v1,Legacy-16,>=3,0.1-0.5,level,0.75-2,3,2,2,2,1
legacy_pre3day_v1,Legacy-16,<0.5,0.5-1,level,0.75-2,26,16,16,7,1
legacy_pre3day_v1,Legacy-16,0.5-1,0.5-1,level,0.75-2,0,0,0,0,0
legacy_pre3day_v1,Legacy-16,1-3,0.5-1,level,0.75-2,16,7,7,4,1
legacy_pre3day_v1,Legacy-16,>=3,0.5-1,level,0.75-2,0,0,0,0,0
legacy_pre3day_v1,Legacy-16,<0.5,>=1,level,0.75-2,0,0,0,0,0
legacy_pre3day_v1,Legacy-16,0.5-1,>=1,level,0.75-2,0,0,0,0,0
legacy_pre3day_v1,Legacy-16,1-3,>=1,level,0.75-2,5,1,1,1,1
legacy_pre3day_v1,Legacy-16,>=3,>=1,level,0.75-2,0,0,0,0,0
legacy_pre3day_v1,Legacy-16,<0.5,<0.1,climb,0.75-2,1184,72,60,14,1
legacy_pre3day_v1,Legacy-16,0.5-1,<0.1,climb,0.75-2,29,20,20,11,1
legacy_pre3day_v1,Legacy-16,1-3,<0.1,climb,0.75-2,31,10,10,9,1
legacy_pre3day_v1,Legacy-16,>=3,<0.1,climb,0.75-2,0,0,0,0,0
legacy_pre3day_v1,Legacy-16,<0.5,0.1-0.5,climb,0.75-2,554,69,57,14,1
legacy_pre3day_v1,Legacy-16,0.5-1,0.1-0.5,climb,0.75-2,49,25,24,12,1
legacy_pre3day_v1,Legacy-16,1-3,0.1-0.5,climb,0.75-2,31,5,5,4,1
legacy_pre3day_v1,Legacy-16,>=3,0.1-0.5,climb,0.75-2,0,0,0,0,0
legacy_pre3day_v1,Legacy-16,<0.5,0.5-1,climb,0.75-2,143,37,29,12,1
legacy_pre3day_v1,Legacy-16,0.5-1,0.5-1,climb,0.75-2,14,9,9,8,1
legacy_pre3day_v1,Legacy-16,1-3,0.5-1,climb,0.75-2,23,7,7,6,1
legacy_pre3day_v1,Legacy-16,>=3,0.5-1,climb,0.75-2,3,2,2,2,1
legacy_pre3day_v1,Legacy-16,<0.5,>=1,climb,0.75-2,19,6,6,6,1
legacy_pre3day_v1,Legacy-16,0.5-1,>=1,climb,0.75-2,0,0,0,0,0
legacy_pre3day_v1,Legacy-16,1-3,>=1,climb,0.75-2,3,2,2,2,1
legacy_pre3day_v1,Legacy-16,>=3,>=1,climb,0.75-2,0,0,0,0,0
legacy_pre3day_v1,Legacy-16,<0.5,<0.1,descent,2-5,116,45,44,15,1
legacy_pre3day_v1,Legacy-16,0.5-1,<0.1,descent,2-5,2,2,2,2,1
legacy_pre3day_v1,Legacy-16,1-3,<0.1,descent,2-5,0,0,0,0,0
legacy_pre3day_v1,Legacy-16,>=3,<0.1,descent,2-5,1,1,1,1,1
legacy_pre3day_v1,Legacy-16,<0.5,0.1-0.5,descent,2-5,113,42,41,13,1
legacy_pre3day_v1,Legacy-16,0.5-1,0.1-0.5,descent,2-5,2,1,1,1,1
legacy_pre3day_v1,Legacy-16,1-3,0.1-0.5,descent,2-5,1,1,1,1,1
legacy_pre3day_v1,Legacy-16,>=3,0.1-0.5,descent,2-5,0,0,0,0,0
legacy_pre3day_v1,Legacy-16,<0.5,0.5-1,descent,2-5,5,4,4,3,1
legacy_pre3day_v1,Legacy-16,0.5-1,0.5-1,descent,2-5,0,0,0,0,0
legacy_pre3day_v1,Legacy-16,1-3,0.5-1,descent,2-5,4,3,3,2,1
legacy_pre3day_v1,Legacy-16,>=3,0.5-1,descent,2-5,0,0,0,0,0
legacy_pre3day_v1,Legacy-16,<0.5,>=1,descent,2-5,0,0,0,0,0
legacy_pre3day_v1,Legacy-16,0.5-1,>=1,descent,2-5,0,0,0,0,0
legacy_pre3day_v1,Legacy-16,1-3,>=1,descent,2-5,0,0,0,0,0
legacy_pre3day_v1,Legacy-16,>=3,>=1,descent,2-5,0,0,0,0,0
legacy_pre3day_v1,Legacy-16,<0.5,<0.1,level,2-5,285,70,64,15,1
legacy_pre3day_v1,Legacy-16,0.5-1,<0.1,level,2-5,1,1,1,1,1
legacy_pre3day_v1,Legacy-16,1-3,<0.1,level,2-5,1,1,1,1,1
legacy_pre3day_v1,Legacy-16,>=3,<0.1,level,2-5,0,0,0,0,0
legacy_pre3day_v1,Legacy-16,<0.5,0.1-0.5,level,2-5,73,38,36,11,1
legacy_pre3day_v1,Legacy-16,0.5-1,0.1-0.5,level,2-5,4,3,3,3,1
legacy_pre3day_v1,Legacy-16,1-3,0.1-0.5,level,2-5,6,3,3,3,1
legacy_pre3day_v1,Legacy-16,>=3,0.1-0.5,level,2-5,1,1,1,1,1
legacy_pre3day_v1,Legacy-16,<0.5,0.5-1,level,2-5,0,0,0,0,0
legacy_pre3day_v1,Legacy-16,0.5-1,0.5-1,level,2-5,0,0,0,0,0
legacy_pre3day_v1,Legacy-16,1-3,0.5-1,level,2-5,0,0,0,0,0
legacy_pre3day_v1,Legacy-16,>=3,0.5-1,level,2-5,0,0,0,0,0
legacy_pre3day_v1,Legacy-16,<0.5,>=1,level,2-5,0,0,0,0,0
legacy_pre3day_v1,Legacy-16,0.5-1,>=1,level,2-5,0,0,0,0,0
legacy_pre3day_v1,Legacy-16,1-3,>=1,level,2-5,0,0,0,0,0
legacy_pre3day_v1,Legacy-16,>=3,>=1,level,2-5,0,0,0,0,0
legacy_pre3day_v1,Legacy-16,<0.5,<0.1,climb,2-5,189,46,40,14,1
legacy_pre3day_v1,Legacy-16,0.5-1,<0.1,climb,2-5,1,1,1,1,1
legacy_pre3day_v1,Legacy-16,1-3,<0.1,climb,2-5,3,3,3,2,1
legacy_pre3day_v1,Legacy-16,>=3,<0.1,climb,2-5,0,0,0,0,0
legacy_pre3day_v1,Legacy-16,<0.5,0.1-0.5,climb,2-5,143,47,40,15,1
legacy_pre3day_v1,Legacy-16,0.5-1,0.1-0.5,climb,2-5,10,8,8,8,1
legacy_pre3day_v1,Legacy-16,1-3,0.1-0.5,climb,2-5,8,5,4,4,1
