variantID,displayName,splitStrategy,eventType,split,eventCount
legacy_pre3day_v1,Legacy-16,aircraft_disjoint,sustained_turn,train,16
legacy_pre3day_v1,Legacy-16,aircraft_disjoint,sustained_turn,validation,17
legacy_pre3day_v1,Legacy-16,aircraft_disjoint,sustained_turn,test,6
legacy_pre3day_v1,Legacy-16,aircraft_disjoint,sustained_acceleration,train,160
legacy_pre3day_v1,Legacy-16,aircraft_disjoint,sustained_acceleration,validation,69
legacy_pre3day_v1,Legacy-16,aircraft_disjoint,sustained_acceleration,test,46
legacy_pre3day_v1,Legacy-16,aircraft_disjoint,sustained_climb,train,51
legacy_pre3day_v1,Legacy-16,aircraft_disjoint,sustained_climb,validation,13
legacy_pre3day_v1,Legacy-16,aircraft_disjoint,sustained_climb,test,12
legacy_pre3day_v1,Legacy-16,aircraft_disjoint,sustained_descent,train,47
legacy_pre3day_v1,Legacy-16,aircraft_disjoint,sustained_descent,validation,18
legacy_pre3day_v1,Legacy-16,aircraft_disjoint,sustained_descent,test,12
legacy_pre3day_v1,Legacy-16,aircraft_disjoint,sparse_gap,train,194
legacy_pre3day_v1,Legacy-16,aircraft_disjoint,sparse_gap,validation,71
legacy_pre3day_v1,Legacy-16,aircraft_disjoint,sparse_gap,test,71
legacy_pre3day_v1,Legacy-16,chronological_blocked,sustained_turn,train,12
legacy_pre3day_v1,Legacy-16,chronological_blocked,sustained_turn,validation,6
legacy_pre3day_v1,Legacy-16,chronological_blocked,sustained_turn,test,21
legacy_pre3day_v1,Legacy-16,chronological_blocked,sustained_acceleration,train,100
legacy_pre3day_v1,Legacy-16,chronological_blocked,sustained_acceleration,validation,37
legacy_pre3day_v1,Legacy-16,chronological_blocked,sustained_acceleration,test,138
legacy_pre3day_v1,Legacy-16,chronological_blocked,sustained_climb,train,42
legacy_pre3day_v1,Legacy-16,chronological_blocked,sustained_climb,validation,10
legacy_pre3day_v1,Legacy-16,chronological_blocked,sustained_climb,test,24
legacy_pre3day_v1,Legacy-16,chronological_blocked,sustained_descent,train,31
legacy_pre3day_v1,Legacy-16,chronological_blocked,sustained_descent,validation,9
legacy_pre3day_v1,Legacy-16,chronological_blocked,sustained_descent,test,37
legacy_pre3day_v1,Legacy-16,chronological_blocked,sparse_gap,train,182
legacy_pre3day_v1,Legacy-16,chronological_blocked,sparse_gap,validation,34
legacy_pre3day_v1,Legacy-16,chronological_blocked,sparse_gap,test,120
campaign_3day_increment_v1,3-Day Campaign Increment,aircraft_disjoint,sustained_turn,train,756
campaign_3day_increment_v1,3-Day Campaign Increment,aircraft_disjoint,sustained_turn,validation,214
campaign_3day_increment_v1,3-Day Campaign Increment,aircraft_disjoint,sustained_turn,test,267
