originalSourceFile,sourceRole,sessionID,truthLayout,truthFolder,fileExists,fileSizeBytes,modifiedTime,isGzip,nativeGzipStatus,fallbackStatus,fallbackSourceFile,evaluationSourceFile,selectedForEvaluation,parseStatus,aircraftCount,validSampleCount,usablePairCount,receiverOriginSource,gzipErrorMessage,fallbackErrorMessage,parseErrorMessage,zeroUseReason
C:\Users\pwilliam\agenticProjects\flightTest\adsbForTracking\adsb_archive\adsb_archive\testing_machine\captures\20260611T170630\truth\0_20260611_170632_adsb_20260611T170630.txt.gz,testing_machine,20260611T170630,testing_machine/captures/<session_id>/truth,C:\Users\pwilliam\agenticProjects\flightTest\adsbForTracking\adsb_archive\adsb_archive\testing_machine\captures\20260611T170630\truth,1,25832,18-Aug-2026 08:40:39,1,succeeded,not_needed,,C:\Users\pwilliam\agenticProjects\flightTest\adsbForTracking\adsb_archive\adsb_archive\testing_machine\captures\20260611T170630\truth\0_20260611_170632_adsb_20260611T170630.txt.gz,1,parsed,8,363,357,default,,,,
C:\Users\pwilliam\agenticProjects\flightTest\adsbForTracking\adsb_archive\adsb_archive\testing_machine\captures\20260615T103437\truth\0_20260615_103439_adsb_20260615T103437.txt.gz,testing_machine,20260615T103437,testing_machine/captures/<session_id>/truth,C:\Users\pwilliam\agenticProjects\flightTest\adsbForTracking\adsb_archive\adsb_archive\testing_machine\captures\20260615T103437\truth,1,12011,18-Aug-2026 08:40:40,1,succeeded,not_needed,,C:\Users\pwilliam\agenticProjects\flightTest\adsbForTracking\adsb_archive\adsb_archive\testing_machine\captures\20260615T103437\truth\0_20260615_103439_adsb_20260615T103437.txt.gz,1,parsed,5,127,121,default,,,,
C:\Users\pwilliam\agenticProjects\flightTest\adsbForTracking\adsb_archive\adsb_archive\testing_machine\captures\20260616T090717\truth\0_20260616_090718_adsb_20260616T090717.txt.gz,testing_machine,20260616T090717,testing_machine/captures/<session_id>/truth,C:\Users\pwilliam\agenticProjects\flightTest\adsbForTracking\adsb_archive\adsb_archive\testing_machine\captures\20260616T090717\truth,1,25232,18-Aug-2026 08:40:40,1,succeeded,not_needed,,C:\Users\pwilliam\agenticProjects\flightTest\adsbForTracking\adsb_archive\adsb_archive\testing_machine\captures\20260616T090717\truth\0_20260616_090718_adsb_20260616T090717.txt.gz,1,parsed,4,388,384,default,,,,
C:\Users\pwilliam\agenticProjects\flightTest\adsbForTracking\adsb_archive\adsb_archive\testing_machine\captures\20260616T131954\truth\0_20260616_131956_adsb_20260616T131954.txt.gz,testing_machine,20260616T131954,testing_machine/captures/<session_id>/truth,C:\Users\pwilliam\agenticProjects\flightTest\adsbForTracking\adsb_archive\adsb_archive\testing_machine\captures\20260616T131954\truth,1,38904,18-Aug-2026 08:40:39,1,succeeded,not_needed,,C:\Users\pwilliam\agenticProjects\flightTest\adsbForTracking\adsb_archive\adsb_archive\testing_machine\captures\20260616T131954\truth\0_20260616_131956_adsb_20260616T131954.txt.gz,1,parsed,12,396,381,default,,,,
C:\Users\pwilliam\agenticProjects\flightTest\adsbForTracking\adsb_archive\adsb_archive\testing_machine\captures\20260616T160702\truth\0_20260616_160703_adsb_20260616T160702.txt.gz,testing_machine,20260616T160702,testing_machine/captures/<session_id>/truth,C:\Users\pwilliam\agenticProjects\flightTest\adsbForTracking\adsb_archive\adsb_archive\testing_machine\captures\20260616T160702\truth,1,49736,18-Aug-2026 08:40:39,1,succeeded,not_needed,,C:\Users\pwilliam\agenticProjects\flightTest\adsbForTracking\adsb_archive\adsb_archive\testing_machine\captures\20260616T160702\truth\0_20260616_160703_adsb_20260616T160702.txt.gz,1,parsed,10,416,406,default,,,,
C:\Users\pwilliam\agenticProjects\flightTest\adsbForTracking\adsb_archive\adsb_archive\testing_machine\captures\20260618T160532\truth\0_20260618_160533_adsb_20260618T160532.txt.gz,testing_machine,20260618T160532,testing_machine/captures/<session_id>/truth,C:\Users\pwilliam\agenticProjects\flightTest\adsbForTracking\adsb_archive\adsb_archive\testing_machine\captures\20260618T160532\truth,1,67984,18-Aug-2026 08:40:40,1,succeeded,not_needed,,C:\Users\pwilliam\agenticProjects\flightTest\adsbForTracking\adsb_archive\adsb_archive\testing_machine\captures\20260618T160532\truth\0_20260618_160533_adsb_20260618T160532.txt.gz,1,parsed,9,598,589,default,,,,
C:\Users\pwilliam\agenticProjects\flightTest\adsbForTracking\adsb_archive\adsb_archive\testing_machine\captures\20260622T102123\truth\0_20260622_102124_adsb_20260622T102123.txt.gz,testing_machine,20260622T102123,testing_machine/captures/<session_id>/truth,C:\Users\pwilliam\agenticProjects\flightTest\adsbForTracking\adsb_archive\adsb_archive\testing_machine\captures\20260622T102123\truth,1,139744,18-Aug-2026 08:40:40,1,succeeded,not_needed,,C:\Users\pwilliam\agenticProjects\flightTest\adsbForTracking\adsb_archive\adsb_archive\testing_machine\captures\20260622T102123\truth\0_20260622_102124_adsb_20260622T102123.txt.gz,1,parsed,21,1751,1729,default,,,,
C:\Users\pwilliam\agenticProjects\flightTest\adsbForTracking\adsb_archive\adsb_archive\testing_machine\captures\20260622T102532\truth\0_20260622_102533_adsb_20260622T102532.txt.gz,testing_machine,20260622T102532,testing_machine/captures/<session_id>/truth,C:\Users\pwilliam\agenticProjects\flightTest\adsbForTracking\adsb_archive\adsb_archive\testing_machine\captures\20260622T102532\truth,1,118734,18-Aug-2026 08:40:39,1,succeeded,not_needed,,C:\Users\pwilliam\agenticProjects\flightTest\adsbForTracking\adsb_archive\adsb_archive\testing_machine\captures\20260622T102532\truth\0_20260622_102533_adsb_20260622T102532.txt.gz,1,parsed,26,1292,1267,default,,,,
C:\Users\pwilliam\agenticProjects\flightTest\adsbForTracking\adsb_archive\adsb_archive\testing_machine\captures\20260622T102954\truth\0_20260622_102955_adsb_20260622T102954.txt.gz,testing_machine,20260622T102954,testing_machine/captures/<session_id>/truth,C:\Users\pwilliam\agenticProjects\flightTest\adsbForTracking\adsb_archive\adsb_archive\testing_machine\captures\20260622T102954\truth,1,138788,18-Aug-2026 08:40:39,1,succeeded,not_needed,,C:\Users\pwilliam\agenticProjects\flightTest\adsbForTracking\adsb_archive\adsb_archive\testing_machine\captures\20260622T102954\truth\0_20260622_102955_adsb_20260622T102954.txt.gz,1,parsed,25,1750,1726,default,,,,
C:\Users\pwilliam\agenticProjects\flightTest\adsbForTracking\adsb_archive\adsb_archive\testing_machine\captures\20260708T092917\truth\0_20260708_092920_adsb_20260708T092917.txt.gz,testing_machine,20260708T092917,testing_machine/captures/<session_id>/truth,C:\Users\pwilliam\agenticProjects\flightTest\adsbForTracking\adsb_archive\adsb_archive\testing_machine\captures\20260708T092917\truth,1,24355,18-Aug-2026 08:40:39,1,succeeded,not_needed,,C:\Users\pwilliam\agenticProjects\flightTest\adsbForTracking\adsb_archive\adsb_archive\testing_machine\captures\20260708T092917\truth\0_20260708_092920_adsb_20260708T092917.txt.gz,1,parsed,9,292,283,default,,,,
C:\Users\pwilliam\agenticProjects\flightTest\adsbForTracking\adsb_archive\adsb_archive\testing_machine\captures\20260708T135521\truth\0_20260708_135522_adsb_20260708T135521.txt.gz,testing_machine,20260708T135521,testing_machine/captures/<session_id>/truth,C:\Users\pwilliam\agenticProjects\flightTest\adsbForTracking\adsb_archive\adsb_archive\testing_machine\captures\20260708T135521\truth,1,45221,18-Aug-2026 08:40:40,1,succeeded,not_needed,,C:\Users\pwilliam\agenticProjects\flightTest\adsbForTracking\adsb_archive\adsb_archive\testing_machine\captures\20260708T135521\truth\0_20260708_135522_adsb_20260708T135521.txt.gz,1,parsed,13,419,406,default,,,,
C:\Users\pwilliam\agenticProjects\flightTest\adsbForTracking\adsb_archive\adsb_archive\testing_machine\captures\20260708T155008\truth\0_20260708_155009_adsb_20260708T155008.txt.gz,testing_machine,20260708T155008,testing_machine/captures/<session_id>/truth,C:\Users\pwilliam\agenticProjects\flightTest\adsbForTracking\adsb_archive\adsb_archive\testing_machine\captures\20260708T155008\truth,1,81529,18-Aug-2026 08:40:40,1,succeeded,not_needed,,C:\Users\pwilliam\agenticProjects\flightTest\adsbForTracking\adsb_archive\adsb_archive\testing_machine\captures\20260708T155008\truth\0_20260708_155009_adsb_20260708T155008.txt.gz,1,parsed,13,824,812,default,,,,
C:\Users\pwilliam\agenticProjects\flightTest\adsbForTracking\adsb_archive\adsb_archive\testing_machine\captures\20260713T150404\truth\0_20260713_150418_adsb_20260713T150404.txt.gz,testing_machine,20260713T150404,testing_machine/captures/<session_id>/truth,C:\Users\pwilliam\agenticProjects\flightTest\adsbForTracking\adsb_archive\adsb_archive\testing_machine\captures\20260713T150404\truth,1,104800,18-Aug-2026 08:40:40,1,succeeded,not_needed,,C:\Users\pwilliam\agenticProjects\flightTest\adsbForTracking\adsb_archive\adsb_archive\testing_machine\captures\20260713T150404\truth\0_20260713_150418_adsb_20260713T150404.txt.gz,1,parsed,14,1117,1102,default,,,,
