modelID,split,groupDimension,groupName,weighting,sampleCount,eventCount,positionRMSEMeters,velocityRMSEMetersPerSecond,positionMedianErrorMeters,velocityMedianErrorMetersPerSecond,positionP95ErrorMeters,velocityP95ErrorMetersPerSecond
constvel,validation,all,all,pair_weighted,86420,873,27.2468667987479,4.47721461172659,5.7732887333837,0.178170458847655,20.2622214108869,2.30620244009225
constvel,validation,all,all,independent_event_weighted,86420,873,45.3360167665016,6.04781645244041,7.17079183093791,0.251886420950466,40.3376602430345,4.04632471038361
legacy_stage3a_v1,validation,all,all,pair_weighted,86420,873,213.136279907843,4.5341798752441,29.6354971315086,0.307594624858642,258.162971528096,2.68065990248915
legacy_stage3a_v1,validation,all,all,independent_event_weighted,86420,873,457.18911600924,6.23375674855989,58.2728719826626,0.479890565609386,967.637368677405,6.09853182402141
expanded_scratch_mean_v1,validation,all,all,pair_weighted,86420,873,30.9305368606828,4.44321097878313,9.59813457964584,0.27274943990403,31.3480515763167,2.44449477288149
expanded_scratch_mean_v1,validation,all,all,independent_event_weighted,86420,873,53.195043318821,5.98533132823544,12.5013293075004,0.388671041125111,68.2511638698372,5.10390533493141
expanded_warm_mean_v1,validation,all,all,pair_weighted,86420,873,30.6953834124648,4.45010678932905,9.55622315118172,0.239525860791107,30.0411595657635,2.39436474406523
expanded_warm_mean_v1,validation,all,all,independent_event_weighted,86420,873,51.9732982783189,5.99293280551591,12.4797796957798,0.335396592010138,67.6975298246087,4.71840306499927
constvel,validation,maneuver_class,mixed_or_sparse,pair_weighted,5564,3948,101.417859787834,15.1633345051135,10.2951531987892,1.56429572731772,77.6696420253991,14.9080342129432
constvel,validation,maneuver_class,mixed_or_sparse,independent_event_weighted,5564,3948,86.6899362144583,11.6902831903872,10.0205930428585,1.43200229338264,67.935900574071,11.9724819232215
legacy_stage3a_v1,validation,maneuver_class,mixed_or_sparse,pair_weighted,5564,3948,776.993746712818,15.3392742509401,167.450538247247,2.23759383850247,1755.20845308349,15.3781366757533
legacy_stage3a_v1,validation,maneuver_class,mixed_or_sparse,independent_event_weighted,5564,3948,766.867140885112,11.9498901783081,175.883436686104,2.04514539418932,1708.74254231787,13.6486538018408
expanded_scratch_mean_v1,validation,maneuver_class,mixed_or_sparse,pair_weighted,5564,3948,109.905205572524,14.9995697448031,22.1173317712062,1.91425364421335,134.913243718777,14.5752185770176
expanded_scratch_mean_v1,validation,maneuver_class,mixed_or_sparse,independent_event_weighted,5564,3948,97.6840891782534,11.5540656105862,22.1133545286115,1.72214877156607,125.130181220602,12.3525881899216
expanded_warm_mean_v1,validation,maneuver_class,mixed_or_sparse,pair_weighted,5564,3948,109.482964780686,15.0381358142592,20.4903396178887,1.85180295749129,135.598127321859,14.5487755680196
expanded_warm_mean_v1,validation,maneuver_class,mixed_or_sparse,independent_event_weighted,5564,3948,95.5175676245441,11.5823083230818,20.5134296239411,1.67830012329812,124.134869724117,12.2505808573313
constvel,validation,maneuver_class,constturn_like,pair_weighted,2084,1344,17.654710074531,14.1877468683288,5.48355207275995,2.17501454304409,15.3321796097607,7.16340927793928
constvel,validation,maneuver_class,constturn_like,independent_event_weighted,2084,1344,15.2922860391,12.5329760267614,5.31816511455856,1.88434483151744,15.0563267671302,6.28952955038453
legacy_stage3a_v1,validation,maneuver_class,constturn_like,pair_weighted,2084,1344,57.8647985345718,14.1748355236165,25.7382262112378,2.13519259467851,116.625410518851,7.21613545140257
legacy_stage3a_v1,validation,maneuver_class,constturn_like,independent_event_weighted,2084,1344,56.5065786036652,12.5255631971061,23.2255779918261,1.87827045880177,116.625410518851,6.15788043318013
expanded_scratch_mean_v1,validation,maneuver_class,constturn_like,pair_weighted,2084,1344,19.9719023197528,14.1378191814814,9.05504011764652,2.08230768806432,24.1602931738611,7.03701764727544
expanded_scratch_mean_v1,validation,maneuver_class,constturn_like,independent_event_weighted,2084,1344,17.4993097168605,12.491183048913,8.49493203464923,1.81966178068856,23.1118753107622,5.98241839765389
expanded_warm_mean_v1,validation,maneuver_class,constturn_like,pair_weighted,2084,1344,19.7423963173561,14.1609302559184,9.01942601955816,2.13572841498848,25.6423339855582,7.10430202014729
expanded_warm_mean_v1,validation,maneuver_class,constturn_like,independent_event_weighted,2084,1344,17.7612061576075,12.5097467749159,8.81201884809903,1.86726009304874,24.4330918525538,6.06794129692345
constvel,validation,maneuver_class,constvel_like,pair_weighted,61742,11900,9.1002956315804,0.493104342599797,5.69917461868715,0.0286269560545076,18.207412845606,0.672995408196268
constvel,validation,maneuver_class,constvel_like,independent_event_weighted,61742,11900,8.59489230540859,0.605257755025575,5.50754631669671,0.106017281406462,16.8128221617073,1.09425646498023
legacy_stage3a_v1,validation,maneuver_class,constvel_like,pair_weighted,61742,11900,78.601446429151,0.661818591238568,28.0620299031497,0.196676885650433,152.725548204931,1.36694397382042
