domain,profile,comparisonFamily,modelID,weighting,caseID,targetReference,sampleCount,eventCount,positionRMSEMeters,positionMedianErrorMeters,positionP95ErrorMeters,velocityRMSEMetersPerSecond,velocityMedianErrorMetersPerSecond,velocityP95ErrorMetersPerSecond
synthetic_canonical,ideal,same_information,expanded_warm_mean_v1,pair_weighted,all,latent_kinematic_truth,3360,7,14.9407254343853,11.6057797879091,26.1216603454404,1.15231526404145,0.102253357627306,2.76551886777886
synthetic_canonical,ideal,same_information,expanded_warm_mean_v1,independent_event_weighted,all,latent_kinematic_truth,3360,7,14.9407254343851,11.6057797879091,26.1216603454404,1.15231526404144,0.102253357627306,2.76551886777886
synthetic_canonical,ideal,same_information,constvel,pair_weighted,all,latent_kinematic_truth,3360,7,0.285948164410107,0,0.684520310506735,1.14379265764041,0,2.73808124202313
synthetic_canonical,ideal,same_information,constvel,independent_event_weighted,all,latent_kinematic_truth,3360,7,0.285948164410104,0,0.684520310506735,1.1437926576404,0,2.73808124202313
synthetic_canonical,ideal,causal_history,expanded_warm_mean_v1,pair_weighted,all,latent_kinematic_truth,3353,7,14.9396552343698,11.6057797879091,26.1216603454404,1.15350385457749,0.102527230472592,2.76554523944085
synthetic_canonical,ideal,causal_history,expanded_warm_mean_v1,independent_event_weighted,all,latent_kinematic_truth,3353,7,14.9396552343698,11.6057797879091,26.1216603454404,1.1535038545775,0.102527230472592,2.76554523944085
synthetic_canonical,ideal,causal_history,constvel,pair_weighted,all,latent_kinematic_truth,3353,7,0.286246493301271,0,0.684520310506763,1.14498597320507,0,2.73808124202313
synthetic_canonical,ideal,causal_history,constvel,independent_event_weighted,all,latent_kinematic_truth,3353,7,0.286246493301272,0,0.684520310506763,1.14498597320507,0,2.73808124202313
synthetic_canonical,ideal,causal_history,constacc,pair_weighted,all,latent_kinematic_truth,3353,7,0.0291725274646882,0,0.00896028594117801,0.116690109858898,0,0.0358411437572349
synthetic_canonical,ideal,causal_history,constacc,independent_event_weighted,all,latent_kinematic_truth,3353,7,0.0291725274646883,0,0.00896028594117801,0.116690109858899,0,0.0358411437572349
synthetic_canonical,ideal,causal_history,constturn,pair_weighted,all,latent_kinematic_truth,3353,7,0.0492480626923009,0,0.106127912690769,0.196502158978915,2.1316282072803e-14,0.418547815149635
