domain,profile,modelID,eventCount,eventWinCount,eventWinRate
real_adsb,baseline,cv_ekf,40,1,0.025
real_adsb,baseline,ca_ekf,40,6,0.15
real_adsb,baseline,ct_ekf,40,1,0.025
real_adsb,baseline,native_imm,40,32,0.8
real_adsb,baseline,warm_ukf,40,0,0
real_adsb,burst_outage,cv_ekf,40,10,0.25
real_adsb,burst_outage,ca_ekf,40,14,0.35
real_adsb,burst_outage,ct_ekf,40,3,0.075
real_adsb,burst_outage,native_imm,40,11,0.275
real_adsb,burst_outage,warm_ukf,40,2,0.05
real_adsb,random_dropout_10,cv_ekf,40,1,0.025
real_adsb,random_dropout_10,ca_ekf,40,5,0.125
real_adsb,random_dropout_10,ct_ekf,40,1,0.025
real_adsb,random_dropout_10,native_imm,40,33,0.825
real_adsb,random_dropout_10,warm_ukf,40,0,0
real_adsb,random_dropout_25,cv_ekf,40,1,0.025
real_adsb,random_dropout_25,ca_ekf,40,5,0.125
real_adsb,random_dropout_25,ct_ekf,40,1,0.025
real_adsb,random_dropout_25,native_imm,40,33,0.825
real_adsb,random_dropout_25,warm_ukf,40,0,0
synthetic_canonical,degraded,cv_ekf,7,2,0.285714285714286
synthetic_canonical,degraded,ca_ekf,7,1,0.142857142857143
synthetic_canonical,degraded,ct_ekf,7,2,0.285714285714286
synthetic_canonical,degraded,native_imm,7,2,0.285714285714286
synthetic_canonical,degraded,warm_ukf,7,0,0
synthetic_canonical,empirical_timing,cv_ekf,7,0.666666666666667,0.0952380952380952
synthetic_canonical,empirical_timing,ca_ekf,7,3.66666666666667,0.523809523809524
synthetic_canonical,empirical_timing,ct_ekf,7,0.666666666666667,0.0952380952380952
synthetic_canonical,empirical_timing,native_imm,7,2,0.285714285714286
synthetic_canonical,empirical_timing,warm_ukf,7,0,0
synthetic_canonical,ideal,cv_ekf,7,0.5,0.0714285714285714
synthetic_canonical,ideal,ca_ekf,7,1.5,0.214285714285714
synthetic_canonical,ideal,ct_ekf,7,0.5,0.0714285714285714
synthetic_canonical,ideal,native_imm,7,0.5,0.0714285714285714
synthetic_canonical,ideal,warm_ukf,7,4,0.571428571428571
synthetic_in_distribution,degraded,cv_ekf,6,0,0
synthetic_in_distribution,degraded,ca_ekf,6,6,1
synthetic_in_distribution,degraded,ct_ekf,6,0,0
synthetic_in_distribution,degraded,native_imm,6,0,0
synthetic_in_distribution,degraded,warm_ukf,6,0,0
synthetic_in_distribution,empirical_timing,cv_ekf,6,0,0
synthetic_in_distribution,empirical_timing,ca_ekf,6,2,0.333333333333333
synthetic_in_distribution,empirical_timing,ct_ekf,6,0,0
synthetic_in_distribution,empirical_timing,native_imm,6,4,0.666666666666667
synthetic_in_distribution,empirical_timing,warm_ukf,6,0,0
synthetic_in_distribution,ideal,cv_ekf,6,0,0
synthetic_in_distribution,ideal,ca_ekf,6,0,0
synthetic_in_distribution,ideal,ct_ekf,6,0,0
synthetic_in_distribution,ideal,native_imm,6,0,0
synthetic_in_distribution,ideal,warm_ukf,6,6,1
synthetic_out_of_distribution,degraded,cv_ekf,3,0,0
synthetic_out_of_distribution,degraded,ca_ekf,3,0,0
synthetic_out_of_distribution,degraded,ct_ekf,3,0,0
synthetic_out_of_distribution,degraded,native_imm,3,3,1
synthetic_out_of_distribution,degraded,warm_ukf,3,0,0
synthetic_out_of_distribution,empirical_timing,cv_ekf,3,0,0
synthetic_out_of_distribution,empirical_timing,ca_ekf,3,0,0
synthetic_out_of_distribution,empirical_timing,ct_ekf,3,1,0.333333333333333
synthetic_out_of_distribution,empirical_timing,native_imm,3,2,0.666666666666667
synthetic_out_of_distribution,empirical_timing,warm_ukf,3,0,0
synthetic_out_of_distribution,ideal,cv_ekf,3,0,0
synthetic_out_of_distribution,ideal,ca_ekf,3,0,0
synthetic_out_of_distribution,ideal,ct_ekf,3,0,0
synthetic_out_of_distribution,ideal,native_imm,3,0,0
synthetic_out_of_distribution,ideal,warm_ukf,3,3,1
