domain,profile,caseID,eventID,modelID,inputSignature,initializationSignature,timestampCount,scheduledCorrectionCount,scoringCount,actualCorrectionCount,divergenceCount,invalidCovarianceCount,errorIdentifier,errorMessage
synthetic_canonical,ideal,cv_level__ideal,synthetic_canonical::cv_level__ideal,cv_ekf,EA9F02471606BDFA6552105FC85B3959B229DECBCFB46313D8606B41DDBDC29C,9DDF2D50B5FF2F8F5BCFDA22D9B2EFFFF3E419009EEFBAE8DCA56A75F0026594,241,241,240,241,0,0,,
synthetic_canonical,ideal,cv_level__ideal,synthetic_canonical::cv_level__ideal,ca_ekf,EA9F02471606BDFA6552105FC85B3959B229DECBCFB46313D8606B41DDBDC29C,9DDF2D50B5FF2F8F5BCFDA22D9B2EFFFF3E419009EEFBAE8DCA56A75F0026594,241,241,240,241,0,0,,
synthetic_canonical,ideal,cv_level__ideal,synthetic_canonical::cv_level__ideal,ct_ekf,EA9F02471606BDFA6552105FC85B3959B229DECBCFB46313D8606B41DDBDC29C,9DDF2D50B5FF2F8F5BCFDA22D9B2EFFFF3E419009EEFBAE8DCA56A75F0026594,241,241,240,241,0,0,,
synthetic_canonical,ideal,cv_level__ideal,synthetic_canonical::cv_level__ideal,native_imm,EA9F02471606BDFA6552105FC85B3959B229DECBCFB46313D8606B41DDBDC29C,9DDF2D50B5FF2F8F5BCFDA22D9B2EFFFF3E419009EEFBAE8DCA56A75F0026594,241,241,240,241,0,0,,
synthetic_canonical,ideal,cv_level__ideal,synthetic_canonical::cv_level__ideal,warm_ukf,EA9F02471606BDFA6552105FC85B3959B229DECBCFB46313D8606B41DDBDC29C,9DDF2D50B5FF2F8F5BCFDA22D9B2EFFFF3E419009EEFBAE8DCA56A75F0026594,241,241,240,241,0,0,,
synthetic_canonical,empirical_timing,cv_level__empirical_timing,synthetic_canonical::cv_level__empirical_timing,cv_ekf,F7A524C7B6DD477AA09B069D2E0B877978EA7818F4D31AC75AE5420FE8435439,9DDF2D50B5FF2F8F5BCFDA22D9B2EFFFF3E419009EEFBAE8DCA56A75F0026594,241,118,240,118,0,0,,
synthetic_canonical,empirical_timing,cv_level__empirical_timing,synthetic_canonical::cv_level__empirical_timing,ca_ekf,F7A524C7B6DD477AA09B069D2E0B877978EA7818F4D31AC75AE5420FE8435439,9DDF2D50B5FF2F8F5BCFDA22D9B2EFFFF3E419009EEFBAE8DCA56A75F0026594,241,118,240,118,0,0,,
synthetic_canonical,empirical_timing,cv_level__empirical_timing,synthetic_canonical::cv_level__empirical_timing,ct_ekf,F7A524C7B6DD477AA09B069D2E0B877978EA7818F4D31AC75AE5420FE8435439,9DDF2D50B5FF2F8F5BCFDA22D9B2EFFFF3E419009EEFBAE8DCA56A75F0026594,241,118,240,118,0,0,,
synthetic_canonical,empirical_timing,cv_level__empirical_timing,synthetic_canonical::cv_level__empirical_timing,native_imm,F7A524C7B6DD477AA09B069D2E0B877978EA7818F4D31AC75AE5420FE8435439,9DDF2D50B5FF2F8F5BCFDA22D9B2EFFFF3E419009EEFBAE8DCA56A75F0026594,241,118,240,118,0,0,,
synthetic_canonical,empirical_timing,cv_level__empirical_timing,synthetic_canonical::cv_level__empirical_timing,warm_ukf,F7A524C7B6DD477AA09B069D2E0B877978EA7818F4D31AC75AE5420FE8435439,9DDF2D50B5FF2F8F5BCFDA22D9B2EFFFF3E419009EEFBAE8DCA56A75F0026594,241,118,240,118,0,0,,
synthetic_canonical,degraded,cv_level__degraded,synthetic_canonical::cv_level__degraded,cv_ekf,BB9D8AEA55B183146BFF055F285083477D1427CA75D83F83CD8096B8AF4D128E,852BC63CCD726D534B7510D7551DB0B2EC95A9E45E311E5731B4F329138695D0,241,89,240,89,0,0,,
synthetic_canonical,degraded,cv_level__degraded,synthetic_canonical::cv_level__degraded,ca_ekf,BB9D8AEA55B183146BFF055F285083477D1427CA75D83F83CD8096B8AF4D128E,852BC63CCD726D534B7510D7551DB0B2EC95A9E45E311E5731B4F329138695D0,241,89,240,89,0,0,,
synthetic_canonical,degraded,cv_level__degraded,synthetic_canonical::cv_level__degraded,ct_ekf,BB9D8AEA55B183146BFF055F285083477D1427CA75D83F83CD8096B8AF4D128E,852BC63CCD726D534B7510D7551DB0B2EC95A9E45E311E5731B4F329138695D0,241,89,240,89,0,0,,
synthetic_canonical,degraded,cv_level__degraded,synthetic_canonical::cv_level__degraded,native_imm,BB9D8AEA55B183146BFF055F285083477D1427CA75D83F83CD8096B8AF4D128E,852BC63CCD726D534B7510D7551DB0B2EC95A9E45E311E5731B4F329138695D0,241,89,240,89,0,0,,
synthetic_canonical,degraded,cv_level__degraded,synthetic_canonical::cv_level__degraded,warm_ukf,BB9D8AEA55B183146BFF055F285083477D1427CA75D83F83CD8096B8AF4D128E,852BC63CCD726D534B7510D7551DB0B2EC95A9E45E311E5731B4F329138695D0,241,89,240,89,0,0,,
synthetic_canonical,ideal,cv_climb__ideal,synthetic_canonical::cv_climb__ideal,cv_ekf,F47764A2D798C0A05CA183EEF95AA8F219B8EE6A974125F484F39CE3BDF0145A,68C0718075B5B44159D0AD3F839DEA3FD1EED3E35C96EE79268B0DAEA5DA6269,241,241,240,241,0,0,,
synthetic_canonical,ideal,cv_climb__ideal,synthetic_canonical::cv_climb__ideal,ca_ekf,F47764A2D798C0A05CA183EEF95AA8F219B8EE6A974125F484F39CE3BDF0145A,68C0718075B5B44159D0AD3F839DEA3FD1EED3E35C96EE79268B0DAEA5DA6269,241,241,240,241,0,0,,
synthetic_canonical,ideal,cv_climb__ideal,synthetic_canonical::cv_climb__ideal,ct_ekf,F47764A2D798C0A05CA183EEF95AA8F219B8EE6A974125F484F39CE3BDF0145A,68C0718075B5B44159D0AD3F839DEA3FD1EED3E35C96EE79268B0DAEA5DA6269,241,241,240,241,0,0,,
