domain,profile,caseID,eventID,modelID,estimateStage,motionMode,sampleCount,positionRMSEMeters,positionMedianErrorMeters,positionP95ErrorMeters,velocityRMSEMetersPerSecond,velocityMedianErrorMetersPerSecond,velocityP95ErrorMetersPerSecond
synthetic_canonical,ideal,cv_level__ideal,synthetic_canonical::cv_level__ideal,cv_ekf,prior,constant_velocity,240,0,0,0,0,0,0
synthetic_canonical,ideal,cv_level__ideal,synthetic_canonical::cv_level__ideal,cv_ekf,posterior,constant_velocity,240,0,0,0,0,0,0
synthetic_canonical,ideal,cv_level__ideal,synthetic_canonical::cv_level__ideal,ca_ekf,prior,constant_velocity,240,0,0,0,0,0,0
synthetic_canonical,ideal,cv_level__ideal,synthetic_canonical::cv_level__ideal,ca_ekf,posterior,constant_velocity,240,0,0,0,0,0,0
synthetic_canonical,ideal,cv_level__ideal,synthetic_canonical::cv_level__ideal,ct_ekf,prior,constant_velocity,240,8.75226115057425e-14,0,5.6843418860808e-14,3.88940215894523e-13,1.56319401867222e-13,9.16600129130529e-13
synthetic_canonical,ideal,cv_level__ideal,synthetic_canonical::cv_level__ideal,ct_ekf,posterior,constant_velocity,240,5.81626900617808e-15,0,0,3.81394472514473e-13,1.49213974509621e-13,9.02389274415327e-13
synthetic_canonical,ideal,cv_level__ideal,synthetic_canonical::cv_level__ideal,native_imm,prior,constant_velocity,240,0.0197297736189308,0.00604244497872991,0.00763632338450279,0.000147981707636987,3.34219920573255e-05,3.35944537052e-05
synthetic_canonical,ideal,cv_level__ideal,synthetic_canonical::cv_level__ideal,native_imm,posterior,constant_velocity,240,4.33819151138119e-12,3.63820083814577e-12,8.13496651366863e-12,3.62471520329362e-12,2.56317321287242e-12,6.10954649211744e-12
synthetic_canonical,ideal,cv_level__ideal,synthetic_canonical::cv_level__ideal,warm_ukf,prior,constant_velocity,240,113.147015128,7.68227705006865,18.1054684051791,6.25691977258009,5.85486674720008,8.30991858094029
synthetic_canonical,ideal,cv_level__ideal,synthetic_canonical::cv_level__ideal,warm_ukf,posterior,constant_velocity,240,0.0479439259143395,0.0469150152198981,0.0761926464474289,6.13784782443164,5.87908634107521,8.29816130332521
synthetic_canonical,empirical_timing,cv_level__empirical_timing,synthetic_canonical::cv_level__empirical_timing,cv_ekf,prior,constant_velocity,240,0,0,0,0,0,0
synthetic_canonical,empirical_timing,cv_level__empirical_timing,synthetic_canonical::cv_level__empirical_timing,cv_ekf,posterior,constant_velocity,240,0,0,0,0,0,0
synthetic_canonical,empirical_timing,cv_level__empirical_timing,synthetic_canonical::cv_level__empirical_timing,ca_ekf,prior,constant_velocity,240,0,0,0,0,0,0
synthetic_canonical,empirical_timing,cv_level__empirical_timing,synthetic_canonical::cv_level__empirical_timing,ca_ekf,posterior,constant_velocity,240,0,0,0,0,0,0
synthetic_canonical,empirical_timing,cv_level__empirical_timing,synthetic_canonical::cv_level__empirical_timing,ct_ekf,prior,constant_velocity,240,2.0374433513328e-13,0,3.37507799486048e-13,3.99857358997404e-13,1.4210854715202e-13,9.59232693276135e-13
