domain,profile,caseID,eventID,modelID,estimateStage,outageAgeBin,sampleCount,positionRMSEMeters,positionMedianErrorMeters,positionP95ErrorMeters,velocityRMSEMetersPerSecond,velocityMedianErrorMetersPerSecond,velocityP95ErrorMetersPerSecond
synthetic_canonical,ideal,cv_level__ideal,synthetic_canonical::cv_level__ideal,cv_ekf,prior,0_to_5_s,240,0,0,0,0,0,0
synthetic_canonical,ideal,cv_level__ideal,synthetic_canonical::cv_level__ideal,cv_ekf,posterior,corrected_now,240,0,0,0,0,0,0
synthetic_canonical,ideal,cv_level__ideal,synthetic_canonical::cv_level__ideal,ca_ekf,prior,0_to_5_s,240,0,0,0,0,0,0
synthetic_canonical,ideal,cv_level__ideal,synthetic_canonical::cv_level__ideal,ca_ekf,posterior,corrected_now,240,0,0,0,0,0,0
synthetic_canonical,ideal,cv_level__ideal,synthetic_canonical::cv_level__ideal,ct_ekf,prior,0_to_5_s,240,8.75226115057425e-14,0,5.6843418860808e-14,3.88940215894523e-13,1.56319401867222e-13,9.16600129130529e-13
synthetic_canonical,ideal,cv_level__ideal,synthetic_canonical::cv_level__ideal,ct_ekf,posterior,corrected_now,240,5.81626900617808e-15,0,0,3.81394472514473e-13,1.49213974509621e-13,9.02389274415327e-13
synthetic_canonical,ideal,cv_level__ideal,synthetic_canonical::cv_level__ideal,native_imm,prior,0_to_5_s,240,0.0197297736189308,0.00604244497872991,0.00763632338450279,0.000147981707636987,3.34219920573255e-05,3.35944537052e-05
synthetic_canonical,ideal,cv_level__ideal,synthetic_canonical::cv_level__ideal,native_imm,posterior,corrected_now,240,4.33819151138119e-12,3.63820083814577e-12,8.13496651366863e-12,3.62471520329362e-12,2.56317321287242e-12,6.10954649211744e-12
synthetic_canonical,ideal,cv_level__ideal,synthetic_canonical::cv_level__ideal,warm_ukf,prior,0_to_5_s,240,113.147015128,7.68227705006865,18.1054684051791,6.25691977258009,5.85486674720008,8.30991858094029
synthetic_canonical,ideal,cv_level__ideal,synthetic_canonical::cv_level__ideal,warm_ukf,posterior,corrected_now,240,0.0479439259143395,0.0469150152198981,0.0761926464474289,6.13784782443164,5.87908634107521,8.29816130332521
synthetic_canonical,empirical_timing,cv_level__empirical_timing,synthetic_canonical::cv_level__empirical_timing,cv_ekf,prior,0_to_5_s,223,0,0,0,0,0,0
synthetic_canonical,empirical_timing,cv_level__empirical_timing,synthetic_canonical::cv_level__empirical_timing,cv_ekf,prior,5_to_15_s,17,0,0,0,0,0,0
synthetic_canonical,empirical_timing,cv_level__empirical_timing,synthetic_canonical::cv_level__empirical_timing,cv_ekf,posterior,corrected_now,117,0,0,0,0,0,0
synthetic_canonical,empirical_timing,cv_level__empirical_timing,synthetic_canonical::cv_level__empirical_timing,cv_ekf,posterior,0_to_5_s,109,0,0,0,0,0,0
synthetic_canonical,empirical_timing,cv_level__empirical_timing,synthetic_canonical::cv_level__empirical_timing,cv_ekf,posterior,5_to_15_s,14,0,0,0,0,0,0
synthetic_canonical,empirical_timing,cv_level__empirical_timing,synthetic_canonical::cv_level__empirical_timing,ca_ekf,prior,0_to_5_s,223,0,0,0,0,0,0
synthetic_canonical,empirical_timing,cv_level__empirical_timing,synthetic_canonical::cv_level__empirical_timing,ca_ekf,prior,5_to_15_s,17,0,0,0,0,0,0
synthetic_canonical,empirical_timing,cv_level__empirical_timing,synthetic_canonical::cv_level__empirical_timing,ca_ekf,posterior,corrected_now,117,0,0,0,0,0,0
synthetic_canonical,empirical_timing,cv_level__empirical_timing,synthetic_canonical::cv_level__empirical_timing,ca_ekf,posterior,0_to_5_s,109,0,0,0,0,0,0
synthetic_canonical,empirical_timing,cv_level__empirical_timing,synthetic_canonical::cv_level__empirical_timing,ca_ekf,posterior,5_to_15_s,14,0,0,0,0,0,0
synthetic_canonical,empirical_timing,cv_level__empirical_timing,synthetic_canonical::cv_level__empirical_timing,ct_ekf,prior,0_to_5_s,223,1.84353447737613e-13,0,1.33582034322899e-13,3.77431072397794e-13,1.27897692436818e-13,8.86046791492845e-13
synthetic_canonical,empirical_timing,cv_level__empirical_timing,synthetic_canonical::cv_level__empirical_timing,ct_ekf,prior,5_to_15_s,17,3.74472161083748e-13,0,8.17834688859875e-13,6.23336751444336e-13,3.12638803734444e-13,1.01820774034422e-12
synthetic_canonical,empirical_timing,cv_level__empirical_timing,synthetic_canonical::cv_level__empirical_timing,ct_ekf,posterior,corrected_now,117,0,0,0,3.3208855519139e-13,1.13686837721616e-13,7.62412355470587e-13
synthetic_canonical,empirical_timing,cv_level__empirical_timing,synthetic_canonical::cv_level__empirical_timing,ct_ekf,posterior,0_to_5_s,109,1.68348822781923e-13,0,1.73372427525464e-13,4.13273045359262e-13,1.4210854715202e-13,9.2441609922389e-13
synthetic_canonical,empirical_timing,cv_level__empirical_timing,synthetic_canonical::cv_level__empirical_timing,ct_ekf,posterior,5_to_15_s,14,3.44018851227948e-13,0,7.33280103304423e-13,6.20123384917726e-13,3.05533376376843e-13,1.0061285138363e-12
synthetic_canonical,empirical_timing,cv_level__empirical_timing,synthetic_canonical::cv_level__empirical_timing,native_imm,prior,0_to_5_s,223,0.133434298093281,0.0150372407929669,0.35161735057271,0.000793930863501281,9.92513076621224e-05,0.00217721140072849
synthetic_canonical,empirical_timing,cv_level__empirical_timing,synthetic_canonical::cv_level__empirical_timing,native_imm,prior,5_to_15_s,17,0.996074699446747,0.943593416950076,1.48821016065709,0.00569542870737111,0.00533665805469274,0.00754476829334864
synthetic_canonical,empirical_timing,cv_level__empirical_timing,synthetic_canonical::cv_level__empirical_timing,native_imm,posterior,corrected_now,117,3.52313692775776e-12,1.81987736523094e-12,7.49988544269883e-12,3.48875650477643e-12,2.61746447220069e-12,5.94235879274532e-12
synthetic_canonical,empirical_timing,cv_level__empirical_timing,synthetic_canonical::cv_level__empirical_timing,native_imm,posterior,0_to_5_s,109,0.174558990617832,0.0090693930100409,0.443740911231705,0.00102318839418014,4.77717728864534e-05,0.00270542575959746
synthetic_canonical,empirical_timing,cv_level__empirical_timing,synthetic_canonical::cv_level__empirical_timing,native_imm,posterior,5_to_15_s,14,0.926829504628505,0.874314246114477,1.35428037383579,0.00530502676774113,0.00525565236526693,0.0067841418801114
synthetic_canonical,empirical_timing,cv_level__empirical_timing,synthetic_canonical::cv_level__empirical_timing,warm_ukf,prior,0_to_5_s,223,178.818856213236,9.62062671233561,260.110969873322,7.91267650915099,6.43002446328591,15.4660418387757
synthetic_canonical,empirical_timing,cv_level__empirical_timing,synthetic_canonical::cv_level__empirical_timing,warm_ukf,prior,5_to_15_s,17,28.0005022356117,25.4956884014002,41.6013018289988,6.41559241858437,5.32786777810693,10.0489627502924
