check,passed,detail
identical_filter_inputs,1,"All five filters received one signature per sequence"
identical_filter_initialization,1,"Projected six-state initialization is identical"
scheduled_corrections_applied,1,"Every scheduled update was applied, including initialization"
real_scoring_reports_never_corrected,1,"Reserved ADS-B score reports have updateMask=false"
same_real_scoring_rows_across_profiles,1,"All dropout profiles reuse the same score timestamps"
deterministic_real_dropout,1,"Seeded dropout masks reproduced exactly"
monotonic_time,1,"Every recursive sequence has strictly increasing time"
finite_recursive_states,1,"All reported states and errors are finite"
positive_definite_covariance,1,"Every reported state covariance passed Cholesky factorization"
coasting_during_outages,1,"At least one interval propagated without correction"
full_synthetic_truth_grid_scored,1,"Every post-initial synthetic truth sample was scored"
known_motion_cases_present,1,"cv_level, horizontal_acceleration, left_turn, motion_transitions"
tuning_validation_only,1,"trackingFilterTuner used validation events only"
tuning_frozen_before_test,1,"31-Aug-2026 14:17:26"
no_neural_training,1,"The frozen network was used for inference only"
warm_hash_unchanged,1,"1999F972DBDABE67F45953C52CD4CDB1620F1FECF1716C075F391064D3B32FFE"
warm_hash_matches_expected,1,"1999F972DBDABE67F45953C52CD4CDB1620F1FECF1716C075F391064D3B32FFE"
